byte_value,hex,id_in_tiny,id_in_compact,id_in_standard,id_in_full,id_in_reference
147,0x93,32643,65411,130947,262019,374064
148,0x94,32644,65412,130948,262020,374065
149,0x95,32645,65413,130949,262021,374066
150,0x96,32646,65414,130950,262022,374067
151,0x97,32647,65415,130951,262023,374068
152,0x98,32648,65416,130952,262024,374069
153,0x99,32649,65417,130953,262025,374070
154,0x9A,32650,65418,130954,262026,374071
155,0x9B,32651,65419,130955,262027,374072
156,0x9C,32652,65420,130956,262028,374073
157,0x9D,32653,65421,130957,262029,374074
158,0x9E,32654,65422,130958,262030,374075
159,0x9F,32655,65423,130959,262031,374076
160,0xA0,32656,65424,130960,262032,374077
161,0xA1,32657,65425,130961,262033,374078
162,0xA2,32658,65426,130962,262034,374079
163,0xA3,32659,65427,130963,262035,374080
164,0xA4,32660,65428,130964,262036,374081
165,0xA5,32661,65429,130965,262037,374082
166,0xA6,32662,65430,130966,262038,374083
167,0xA7,32663,65431,130967,262039,374084
168,0xA8,32664,65432,130968,262040,374085
169,0xA9,32665,65433,130969,262041,374086
170,0xAA,32666,65434,130970,262042,374087
171,0xAB,32667,65435,130971,262043,374088
172,0xAC,32668,65436,130972,262044,374089
173,0xAD,32669,65437,130973,262045,374090
174,0xAE,32670,65438,130974,262046,374091
175,0xAF,32671,65439,130975,262047,374092
176,0xB0,32672,65440,130976,262048,374093
177,0xB1,32673,65441,130977,262049,374094
178,0xB2,32674,65442,130978,262050,374095
179,0xB3,32675,65443,130979,262051,374096
180,0xB4,32676,65444,130980,262052,374097
181,0xB5,32677,65445,130981,262053,374098
182,0xB6,32678,65446,130982,262054,374099
183,0xB7,32679,65447,130983,262055,374100
184,0xB8,32680,65448,130984,262056,374101
185,0xB9,32681,65449,130985,262057,374102
186,0xBA,32682,65450,130986,262058,374103
187,0xBB,32683,65451,130987,262059,374104
188,0xBC,32684,65452,130988,262060,374105
189,0xBD,32685,65453,130989,262061,374106
190,0xBE,32686,65454,130990,262062,374107
191,0xBF,32687,65455,130991,262063,374108
192,0xC0,32688,65456,130992,262064,374109
193,0xC1,32689,65457,130993,262065,374110
194,0xC2,32690,65458,130994,262066,374111
195,0xC3,32691,65459,130995,262067,374112
196,0xC4,32692,65460,130996,262068,374113
197,0xC5,32693,65461,130997,262069,374114
198,0xC6,32694,65462,130998,262070,374115
199,0xC7,32695,65463,130999,262071,374116
200,0xC8,32696,65464,131000,262072,374117
201,0xC9,32697,65465,131001,262073,374118
